date,portfolio_id,strategy,ticker,side,shares,fill_price,commission,cash_after,equity_after,reason
2026-08-04,swing_10k,swing,HAS,SELL,16.0,90.5347,1.0,1521.24,9337.44,המהלך נגמר — מתחת לממוצע 10
2026-08-04,swing_10k,swing,PCAR,SELL,12.0,129.7151,1.0,3076.82,9261.5,המהלך נגמר — מתחת לממוצע 10
2026-08-04,swing_10k,swing,MTCH,BUY,38.0,40.06,1.0,1553.54,9305.34,"פריצה #2 +0.6% מעל הרף, RSI 64"
2026-08-04,swing_10k,swing,RVTY,BUY,13.0,114.5572,1.0,63.3,9263.17,"פריצה #1 +1.5% מעל הרף, RSI 61"
2026-08-04,twitter_track_100,twitter_track,ARDX,BUY,1.0,5.0225,0.0502,34.17,102.0,קנייה לפי @theaiportfolios
2026-08-05,swing_100,swing,CMG,SELL,2.0,34.6327,0.6927,85.3,85.3,סטופ הפסד -8%
2026-08-05,swing_10k,swing,AFL,SELL,8.0,125.4472,1.0,1065.88,9169.72,המהלך נגמר — מתחת לממוצע 10
2026-08-05,swing_10k,swing,RVTY,SELL,13.0,112.3938,1.0,2526.0,9134.57,המהלך נגמר — מתחת לממוצע 10
2026-08-05,swing_10k,swing,AME,BUY,4.0,254.5472,1.0,1506.81,9134.43,"פריצה #2 +4.2% מעל הרף, RSI 69"
2026-08-05,swing_10k,swing,CLX,BUY,11.0,105.3727,1.0,346.71,9138.57,"פריצה #1 +4.3% מעל הרף, RSI 65"
2026-08-05,pullback_10k,pullback,CRWD,SELL,5.0,213.4432,1.0,1444.72,10098.62,"מימוש חלקי +16% — נמכרה מחצית, סטופ הועלה לכניסה"
2026-08-06,screener_track_10k,screener_track,PODD,SELL,5.0,130.8345,1.0,786.66,10277.29,סטופ הועלה לנקודת הכניסה — מתחת לכניסה
2026-08-06,swing_100,swing,MOS,BUY,3.0,23.0115,0.6903,15.57,85.95,"פריצה #4 +1.4% מעל הרף, RSI 59"
2026-08-06,swing_10k,swing,LMT,SELL,2.0,584.0178,1.0,1513.74,9079.71,המהלך נגמר — מתחת לממוצע 10
2026-08-06,swing_10k,swing,MTCH,SELL,38.0,37.6012,1.0,2941.59,9116.38,המהלך נגמר — מתחת לממוצע 10
2026-08-06,swing_10k,swing,ANET,BUY,7.0,192.5062,1.0,1593.04,9114.07,"פריצה #1 +3.6% מעל הרף, RSI 66"
2026-08-06,swing_10k,swing,BKNG,BUY,7.0,207.1035,1.0,142.32,9115.08,"פריצה #2 +2.8% מעל הרף, RSI 69"
2026-08-17,twitter_track_100,twitter_track,ARDX,BUY,1.0,4.062,0.0406,30.07,99.55,קנייה לפי @theaiportfolios
